source,target,importance
ADCY10,ADCY10,0.9999939
RP1-313L4.3,RP1-313L4.3,0.9999987
MPC2,MPC2,0.9999988
ATP1B1,ATP1B1,0.9999945
CCDC181,CCDC181,0.9999879
METTL18,METTL18,0.9999928
GORAB,GORAB,0.9999997
METTL13,METTL13,1.0
SUCO,SUCO,0.9999919
KLHL20,KLHL20,0.9999998
CENPL,CENPL,1.0
ZBTB37,ZBTB37,0.999993
CACYBP,CACYBP,0.9999995
C1orf220,C1orf220,1.0
RP11-428K3.1,RP11-428K3.1,0.99999344
TOR3A,TOR3A,0.9999972
ABL2,ABL2,0.9999965
SOAT1,SOAT1,1.0
CCL2,AXDND1,0.4246126
TENC1,AXDND1,0.44079682
LAMP3,AXDND1,0.46994373
SLC10A5,AXDND1,0.4900988
RP11-268G12.1,AXDND1,0.50687903
GFY,AXDND1,0.54308766
FCGR1A,AXDND1,0.5550243
RP4-798A10.2,AXDND1,0.5636868
AXDND1,AXDND1,1.0
TDRD5,TDRD5,0.9999871
TOR1AIP1,TOR1AIP1,1.0
MR1,MR1,1.0
IER5,IER5,0.9999975
RNASEL,RNASEL,1.0
RGS16,RGS16,1.0
LAMC1,LAMC1,1.0
ARPC5,ARPC5,0.9999987
FAM129A,FAM129A,1.0
RNF2,RNF2,1.0
TRMT1L,TRMT1L,0.99999696
SWT1,SWT1,0.99999344
GS1-279B7.2,GS1-279B7.2,1.0
C1orf27,C1orf27,1.0
RP11-255C15.3,PLA2G4A,0.47888327
PLA2G4A,PLA2G4A,1.0
RGS2,RGS2,1.0
TROVE2,TROVE2,0.9999979
GLRX2,GLRX2,1.0
CFH,CFH,1.0
C5orf47,CFHR3,0.6136999
CFHR3,CFHR3,1.0
ASPM,ASPM,0.99999493
C1orf53,C1orf53,0.99999034
VDR,PTPRC,0.42562592
PTPRC,PTPRC,1.0
ZNF281,ZNF281,1.0
RP11-92G12.3,RP11-92G12.3,1.0
CAMSAP2,CAMSAP2,0.99999106
RP11-168O16.1,RP11-168O16.1,0.9999944
RPS10P7,RPS10P7,1.0
IPO9-AS1,IPO9-AS1,1.0
RNPEP,RNPEP,1.0
PTPN7,PTPN7,0.9999946
UBE2T,UBE2T,0.9999989
KDM5B,KDM5B,1.0
PCAT6,PCAT6,1.0
CYB5R1,CYB5R1,0.9999991
PPFIA4,PPFIA4,0.99999386
RP11-134P9.3,RP11-134P9.3,0.9999938
LINC01136,LINC01136,0.999999
BTG2,BTG2,0.99999446
ZC3H11A,ZC3H11A,0.9999973
LOXL4,GOLT1A,0.5156332
GOLT1A,GOLT1A,1.0
PPP1R15B,PPP1R15B,0.99999493
PIK3C2B,PIK3C2B,0.99999654
MDM4,MDM4,1.0
DSTYK,DSTYK,1.0
ELK4,ELK4,1.0
NUCKS1,NUCKS1,0.9999994
RP11-312O7.2,RP11-312O7.2,1.0
CTSE,CTSE,1.0
DYRK3,DYRK3,0.9999959
CR1,CR1,1.0
CR1L,CR1L,1.0
PLXNA2,PLXNA2,0.99999034
C1orf74,C1orf74,1.0
RCOR3,RCOR3,1.0
TRAF5,TRAF5,1.0
RP11-318L16.6,RP11-318L16.6,1.0
NEK2,NEK2,1.0
INTS7,INTS7,0.9999941
DTL,DTL,1.0
PPP2R5A,PPP2R5A,0.9999959
NENF,NENF,0.99999964
DDIT4,ATF3,0.4734561
ATF3,ATF3,1.0
BATF3,BATF3,1.0
C2,C1orf227,0.44481996
C1orf227,C1orf227,0.9999905
FLVCR1-AS1,FLVCR1-AS1,1.0
VASH2,VASH2,0.9999975
PROX1,PROX1,1.0
CENPF,CENPF,0.99999815
KCTD3,KCTD3,0.9999933
ITGA8,RP11-224O19.2,0.44456556
RP11-224O19.2,RP11-224O19.2,0.9999944
STH,TGFB2,0.4255336
RP11-114M1.1,TGFB2,0.43666306
TGFB2,TGFB2,1.0
LYPLAL1,LYPLAL1,1.0
SLC30A10,SLC30A10,1.0
BPNT1,BPNT1,0.99999136
MARC2,MARC2,1.0
HLA-AS1,HLA-AS1,0.9999954
DUSP10,DUSP10,1.0
AIDA,AIDA,1.0
BROX,BROX,0.99999934
RP11-452F19.3,RP11-452F19.3,1.0
CAPN2,CAPN2,0.9999927
RP11-504P24.6,RP11-504P24.6,1.0
DEGS1,DEGS1,1.0
WDR26,WDR26,1.0
CNIH3,CNIH3,1.0
DNAH14,DNAH14,0.9999909
LBR,LBR,1.0
ENAH,ENAH,1.0
TMEM63A,TMEM63A,0.9999895
SDE2,SDE2,0.99999607
RP11-396C23.2,RP11-396C23.2,1.0
ACBD3,ACBD3,1.0
LIN9,LIN9,0.9999984
ADCK3,ADCK3,1.0
CDC42BPA,CDC42BPA,0.99999833
C1orf35,C1orf35,1.0
OBSCN,OBSCN,1.0
RP5-1139B12.2,RP5-1139B12.2,1.0
TRIM17,TRIM17,1.0
HIST3H2BB,HIST3H2BB,1.0
ACTA1,ACTA1,1.0
RP5-1068B5.3,RP5-1068B5.3,0.999993
GALNT2,GALNT2,0.99999225
ARV1,ARV1,0.9999977
FAM89A,FAM89A,0.99999785
GNPAT,GNPAT,0.9999981
DISC1,DISC1,0.9999958
MAP10,MAP10,1.0
RP5-827C21.4,RP5-827C21.4,0.9999971
IRF2BP2,IRF2BP2,0.9999982
RP4-597N16.4,RP4-597N16.4,1.0
RBM34,RBM34,1.0
ARID4B,ARID4B,1.0
B3GALNT2,B3GALNT2,0.99999446
ABCA1,ERO1LB,0.40000343
ERO1LB,ERO1LB,0.99999404
LGALS8,LGALS8,0.9999972
RP11-385F5.5,RP11-385F5.5,1.0
RP11-385F5.4,RP11-385F5.4,0.99999815
ACTN2,ACTN2,0.9999974
RP11-342K6.4,KMO,0.45894867
KMO,KMO,1.0
OPN3,OPN3,1.0
CHML,CHML,0.9999959
EXO1,EXO1,0.99999726
CEP170,CEP170,0.9999934
SDCCAG8,SDCCAG8,1.0
ZBTB18,ZBTB18,0.9999981
RP11-445H22.3,RP11-518L10.5,0.40377027
RP11-518L10.5,RP11-518L10.5,0.99999005
COX20,COX20,0.99999833
HNRNPU-AS1,HNRNPU-AS1,1.0
RP11-245J9.5,RP11-11N7.4,0.4569091
MST1,RP11-11N7.4,0.5919898
RP11-11N7.4,RP11-11N7.4,0.999981
LINC00636,RP11-156E8.1,0.5161163
RP11-156E8.1,RP11-156E8.1,0.9999965
SMYD3,SMYD3,1.0
TFB2M,TFB2M,1.0
ZNF670,ZNF670,0.99999714
C1orf229,C1orf229,0.99999374
RP11-488L18.8,RP11-488L18.8,0.9999996
GCSAML,GCSAML,1.0
TRIM58,TRIM58,0.99998856
AC011718.2,OR2M7,0.47806993
OR2M7,OR2M7,1.0
OR14C36,OR14C36,1.0
ZNF672,ZNF672,1.0
PGBD2,PGBD2,0.9999983
SH3YL1,SH3YL1,0.9999987
TRAPPC12,TRAPPC12,1.0
TRAPPC12-AS1,TRAPPC12-AS1,0.9999898
ADI1,ADI1,1.0
AC142528.1,AC142528.1,1.0
AC108488.4,AC108488.4,1.0
CMPK2,CMPK2,1.0
RSAD2,RSAD2,0.9999925
RP11-439M11.1,RP11-439M11.1,0.9999913
ID2,ID2,1.0
IAH1,IAH1,1.0
RP11-214N9.1,RP11-214N9.1,0.99999166
GRHL1,GRHL1,0.9999987
KLF11,KLF11,0.9999953
RP11-254F7.4,RP11-254F7.4,1.0
RRM2,RRM2,1.0
HPCAL1,HPCAL1,0.9999988
ODC1,ODC1,0.99999976
RN7SL832P,RN7SL832P,0.9999963
PDIA6,PDIA6,1.0
ROCK2,ROCK2,0.9999957
E2F6,E2F6,0.99999577
AC096559.1,AC096559.1,1.0
TRIB2,TRIB2,1.0
NBAS,NBAS,0.99999905
SMC6,SMC6,1.0
RP11-46C24.3,AC092594.1,0.41357204
AC092594.1,AC092594.1,0.9999927
TTC32,TTC32,1.0
RHOB,RHOB,1.0
HS1BP3,HS1BP3,0.9999961
GDF7,GDF7,0.9999966
AC012065.7,AC012065.7,0.9999908
C2orf44,C2orf44,1.0
FAM228B,FAM228B,1.0
TP53I3,TP53I3,1.0
PFN4,PFN4,0.99999374
ITSN2,ITSN2,1.0
DNAJC27-AS1,DNAJC27-AS1,0.9999872
RP11-466F5.10,RP11-458N5.1,0.41722777
RP11-458N5.1,RP11-458N5.1,1.0
AC013449.1,AC013449.1,1.0
RAB10,RAB10,0.99999523
GAREML,GAREML,0.9999918
EPT1,EPT1,1.0
SLC35F6,SLC35F6,1.0
