source,target,importance
APOE,APOE,1.0
APOL1,APOL1,1.0
APOL2,APOL2,0.9999873
APOL4,APOL4,0.9999724
PROC,APOL6,0.40809166
S100A14,APOL6,0.43041664
CHRNB4,APOL6,0.45079455
APOL6,APOL6,1.0
APOLD1,APOLD1,0.9999445
APOM,APOM,0.99996096
APOO,APOO,1.0
APOOL,APOOL,0.9999866
APPBP2,APPBP2,0.99996
APPL1,APPL1,1.0
APPL2,APPL2,1.0
APRT,APRT,0.99999994
APTX,APTX,1.0
AQP1,AQP1,0.9999739
AQP10,AQP10,1.0
AQP11,AQP11,0.99994683
AQP3,AQP3,0.9999922
AQP7,AQP7,0.99999577
AQR,AQR,0.99997526
ARAF,ARAF,1.0
ARAP1,ARAP1,0.99995434
ARCN1,ARCN1,0.9999607
AREG,AREG,1.0
AREL1,AREL1,0.9999823
ARF1,ARF1,1.0
ARF3,ARF3,0.999999
ARF4,ARF4,1.0
ARF5,ARF5,1.0
ARF6,ARF6,1.0
ARFGAP1,ARFGAP1,1.0
ARFGAP2,ARFGAP2,0.99998844
ARFGAP3,ARFGAP3,0.99999124
ARFGEF1,ARFGEF1,1.0
ARFGEF2,ARFGEF2,0.9999994
ARFIP1,ARFIP1,0.99999607
ARFIP2,ARFIP2,1.0
ARFRP1,ARFRP1,1.0
ARG2,ARG2,0.99997437
ARGLU1,ARGLU1,1.0
ARHGAP1,ARHGAP1,0.9999466
B3GNT8,ARHGAP10,0.5444076
ARHGAP10,ARHGAP10,1.0
ARHGAP11A,ARHGAP11A,1.0
ARHGAP11B,ARHGAP11B,1.0
ARHGAP12,ARHGAP12,0.9999755
ARHGAP17,ARHGAP17,1.0
ARHGAP18,ARHGAP18,1.0
ARHGAP19,ARHGAP19,1.0
ARHGAP21,ARHGAP21,0.9999997
ARHGAP22,ARHGAP22,1.0
ARHGAP24,ARHGAP24,1.0
ARHGAP25,ARHGAP25,1.0
ARHGAP27,ARHGAP27,0.9999502
ARHGAP28,ARHGAP28,1.0
ARHGAP30,ARHGAP30,1.0
ARHGAP31,ARHGAP31,0.99999684
ARHGAP33,ARHGAP33,0.99995476
ARHGAP35,ARHGAP35,0.99999887
ARHGAP39,ARHGAP39,1.0
ISG20,ARHGAP4,0.5257467
ARHGAP4,ARHGAP4,0.9999963
ARHGAP44,ARHGAP44,1.0
ARHGAP45,ARHGAP45,0.9999998
ARHGAP5,ARHGAP5,0.99996865
ARHGAP6,ARHGAP6,1.0
ARHGAP8,ARHGAP8,1.0
ARHGAP9,ARHGAP9,0.99996734
ARHGDIA,ARHGDIA,1.0
ARHGDIB,ARHGDIB,1.0
ARHGDIG,ARHGDIG,1.0
ARHGEF1,ARHGEF1,1.0
ARHGEF10,ARHGEF10,1.0
ARHGEF11,ARHGEF11,0.9999866
ARHGEF12,ARHGEF12,0.99996287
ARHGEF16,ARHGEF16,1.0
ARHGEF18,ARHGEF18,0.99999094
ARHGEF19,ARHGEF19,0.99997145
ARHGEF2,ARHGEF2,0.9999698
ARHGEF25,ARHGEF25,1.0
ARHGEF26,ARHGEF26,0.99998826
ARHGEF3,ARHGEF3,1.0
ARHGEF37,ARHGEF37,1.0
ARHGEF38,ARHGEF38,1.0
ARHGEF39,ARHGEF39,0.9999627
ARHGEF40,ARHGEF40,1.0
ARHGEF6,ARHGEF6,1.0
ARHGEF7,ARHGEF7,1.0
ARHGEF9,ARHGEF9,0.99998784
ARID1A,ARID1A,1.0
ARID1B,ARID1B,0.99998224
ARID2,ARID2,0.99998015
ARID3A,ARID3A,1.0
ARID3B,ARID3B,1.0
ARID4A,ARID4A,1.0
ARID4B,ARID4B,0.99999136
ARID5A,ARID5A,1.0
ARID5B,ARID5B,0.9999942
ARIH1,ARIH1,1.0
ARIH2,ARIH2,1.0
ARL13B,ARL13B,1.0
ARL14EP,ARL14EP,1.0
ARL17A,ARL17A,0.9999703
ARL2BP,ARL2BP,1.0
ARL4A,ARL4A,0.9999972
ARL4D,ARL4D,0.99998516
ARL5A,ARL5A,1.0
ARL5B,ARL5B,0.9999619
ARL6IP1,ARL6IP1,0.9999944
ARL6IP4,ARL6IP4,1.0
ARL6IP5,ARL6IP5,0.99999505
ARL6IP6,ARL6IP6,1.0
ARL8A,ARL8A,0.9999653
ARL8B,ARL8B,1.0
ARL1,ARL1,1.0
ARL11,ARL11,1.0
ARL15,ARL15,1.0
ARL16,ARL16,0.99998796
ARL2,ARL2,1.0
ARL3,ARL3,0.9999633
ARL6,ARL6,0.9999697
ARL9,ARL9,0.9999767
ARMC1,ARMC1,0.9999898
ARMC10,ARMC10,0.99998575
ARMC2,ARMC2,1.0
ARMC5,ARMC5,0.9999819
ARMC6,ARMC6,1.0
ARMC7,ARMC7,1.0
ARMC8,ARMC8,0.9999907
ARMC9,ARMC9,0.99997586
ARMCX1,ARMCX1,0.99997425
ARMCX3,ARMCX3,0.99997956
ARMCX5,ARMCX5,0.99998933
ARMCX6,ARMCX6,1.0
ARMT1,ARMT1,0.99998665
ARNT,ARNT,1.0
ARNTL,ARNTL,1.0
ARNTL2,ARNTL2,0.99997973
ARPC1A,ARPC1A,1.0
ARPC1B,ARPC1B,1.0
ARPC2,ARPC2,1.0
ARPC3,ARPC3,1.0
ARPC4,ARPC4,1.0
ARPC5,ARPC5,0.99999565
ARPC5L,ARPC5L,0.99999845
ARPP19,ARPP19,0.9999708
ARRB1,ARRB1,1.0
ARRB2,ARRB2,1.0
ARRDC1,ARRDC1,0.99995786
ARRDC2,ARRDC2,0.999983
ARRDC3,ARRDC3,0.9999513
ARRDC4,ARRDC4,0.99996716
ARSA,ARSA,0.999973
ARSB,ARSB,0.99998516
