source,target,importance
RP11-156E8.1,RP11-156E8.1,1.0
SMYD3,SMYD3,1.0
TFB2M,TFB2M,0.9999979
ZNF670,ZNF670,0.9999994
C1orf229,C1orf229,1.0
RP11-488L18.8,RP11-488L18.8,1.0
GCSAML,GCSAML,1.0
TRIM58,TRIM58,0.9999918
SFXN3,OR2M7,0.42388928
AC011718.2,OR2M7,0.70105904
OR2M7,OR2M7,0.99999964
RP11-171I2.3,OR14C36,0.40331033
BCL6,OR14C36,0.46586093
ZGPAT,OR14C36,0.6650318
OR14C36,OR14C36,0.99999017
ZNF672,ZNF672,1.0
PGBD2,PGBD2,1.0
SH3YL1,SH3YL1,0.99999565
TRAPPC12,TRAPPC12,1.0
TRAPPC12-AS1,TRAPPC12-AS1,1.0
ADI1,ADI1,1.0
AC142528.1,AC142528.1,0.9999992
AC108488.4,AC108488.4,0.99999946
CMPK2,CMPK2,1.0
RSAD2,RSAD2,1.0
RP11-439M11.1,RP11-439M11.1,0.99999654
ID2,ID2,1.0
IAH1,IAH1,1.0
RP11-214N9.1,RP11-214N9.1,1.0
GRHL1,GRHL1,0.9999959
KLF11,KLF11,0.99999475
RP11-254F7.4,RP11-254F7.4,0.99999785
RRM2,RRM2,1.0
HPCAL1,HPCAL1,1.0
ODC1,ODC1,0.99999976
RN7SL832P,RN7SL832P,1.0
PDIA6,PDIA6,0.99999964
ROCK2,ROCK2,1.0
E2F6,E2F6,0.9999984
AC096559.1,AC096559.1,1.0
TRIB2,TRIB2,0.99999905
NBAS,NBAS,0.99999607
SMC6,SMC6,0.99999565
AC092594.1,AC092594.1,1.0
TTC32,TTC32,1.0
RHOB,RHOB,0.99999017
HS1BP3,HS1BP3,1.0
GDF7,GDF7,1.0
SPOCD1,AC012065.7,0.42361918
STAMBPL1,AC012065.7,0.5310307
AC012065.7,AC012065.7,1.0
C2orf44,C2orf44,0.99999887
FAM228B,FAM228B,0.99999493
TP53I3,TP53I3,0.9999988
PFN4,PFN4,0.99999624
ITSN2,ITSN2,1.0
DNAJC27-AS1,DNAJC27-AS1,0.99999195
RP11-458N5.1,RP11-458N5.1,1.0
AC013449.1,AC013449.1,0.9999855
RAB10,RAB10,0.99999815
GAREML,GAREML,0.99998933
EPT1,EPT1,0.9999997
SLC35F6,SLC35F6,0.9999955
CENPA,CENPA,1.0
LINC00515,RP11-195B17.1,0.4040314
XXbac-BPG55C20.7,RP11-195B17.1,0.48794457
RP11-195B17.1,RP11-195B17.1,0.999999
KHK,KHK,1.0
ATRAID,ATRAID,1.0
SLC30A3,SLC30A3,0.9999944
UCN,UCN,1.0
EIF2B4,EIF2B4,0.9999934
ZNF513,ZNF513,0.99999624
NRBP1,NRBP1,0.99999833
FNDC4,FNDC4,0.99999386
ZNF512,ZNF512,0.9999975
SUPT7L,SUPT7L,0.99999934
SLC4A1AP,SLC4A1AP,0.99999666
RBKS,RBKS,0.9999914
ANGPTL4,FOSL2,0.42844963
FOSL2,FOSL2,0.999986
AC097724.3,AC097724.3,1.0
PPP1CB,PPP1CB,1.0
IL11,SPDYA,0.44529605
EVI2A,SPDYA,0.49358687
CLPSL1,SPDYA,0.50422084
SPDYA,SPDYA,1.0
NKAPL,RP11-713D19.1,0.47925326
RP11-80A15.1,RP11-713D19.1,0.5040361
RP11-713D19.1,RP11-713D19.1,0.9999914
WDR43,WDR43,0.999995
YPEL5,YPEL5,1.0
RP11-1057B6.1,RP11-1057B6.1,1.0
SPAST,SPAST,1.0
RP11-563N4.1,RP11-563N4.1,0.999993
BIRC6,BIRC6,0.99999624
LTBP1,LTBP1,1.0
RASGRP3,RASGRP3,0.999995
RP11-490M8.1,RP11-490M8.1,1.0
EIF2AK2,EIF2AK2,1.0
NDUFAF7,NDUFAF7,1.0
RMDN2,RMDN2,0.9999986
SRSF7,SRSF7,1.0
DHX57,DHX57,1.0
AC007246.3,AC007246.3,0.99998814
THUMPD2,THUMPD2,1.0
KCNG3,KCNG3,1.0
THADA,THADA,1.0
PLEKHH2,PLEKHH2,0.9999961
RP11-559M23.1,RP11-559M23.1,0.9999899
PPM1B,PPM1B,1.0
SIX2,SIX2,0.99999446
PRKCE,PRKCE,1.0
